,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
149,E07000121,Lancaster,464988.0,356896.0,"148,119",100,82.52,78.7,"22,907"
150,E07000122,Pendle,443368.0,387637.0,"92,145",45,81.62,78.02,"22,207"
151,E07000123,Preston,436432.0,352825.0,"144,147",80,80.9,77.47,"21,706"
152,E07000124,Ribble Valley,447676.0,372687.0,"62,026",65,84.46,80.92,x
153,E07000125,Rossendale,420955.0,382827.0,"71,432",45,81.67,78.21,"20,841"
154,E07000126,South Ribble,425840.0,352017.0,"111,086",55,83.61,80.12,"22,953"
155,E07000127,West Lancashire,413270.0,342611.0,"114,496",75,82.59,79.4,"24,151"
156,E07000128,Wyre,445159.0,347295.0,"113,067",65,82.46,78.08,"22,418"
157,E07000129,Blaby,297994.0,454385.0,"101,950",55,85.18,81.73,"26,448"
158,E07000130,Charnwood,316155.0,458365.0,"188,416",120,83.81,80.76,"25,495"
159,E07000131,Harborough,293875.0,474549.0,"95,537",95,85.02,81.66,x
160,E07000132,Hinckley and Bosworth,301379.0,439538.0,"113,666",75,83.88,80.55,"23,554"
161,E07000133,Melton,323472.0,477328.0,"51,394",50,84.22,80.98,"21,519"
162,E07000134,North West Leicestershire,316252.0,439111.0,"104,809",85,83.66,79.99,"24,159"
163,E07000135,Oadby and Wigston,299379.0,461543.0,"57,313",20,84.83,79.77,"23,715"
164,E07000136,Boston,343953.0,526851.0,"70,837",40,82.28,78.07,"19,529"
165,E07000137,East Lindsey,376064.0,534861.0,"142,030",160,82.13,78.14,"21,054"
166,E07000138,Lincoln,370096.0,496347.0,"100,049",65,80.57,76.94,"21,206"
167,E07000139,North Kesteven,354788.0,502135.0,"118,149",75,83.39,80.48,"23,982"
168,E07000140,South Holland,322928.0,532910.0,"95,857",50,83.25,79.79,"23,844"
169,E07000141,South Kesteven,328986.0,501406.0,"143,225",100,84.06,80.92,"22,470"
170,E07000142,West Lindsey,390326.0,499314.0,"96,186",65,83.29,79.99,"24,455"
171,E07000143,Breckland,303330.0,591015.0,"141,255",80,84.14,79.99,"22,512"
172,E07000144,Broadland,315909.0,619864.0,"131,931",60,85.21,81.55,"22,803"
173,E07000145,Great Yarmouth,315881.0,646761.0,"99,198",75,82.82,78.5,"19,882"
174,E07000146,King's Lynn and West Norfolk,315805.0,571219.0,"151,245",90,82.63,79.64,"21,978"
175,E07000147,North Norfolk,330857.0,611076.0,"105,167",95,85.22,80.89,x
176,E07000148,Norwich,309773.0,622355.0,"142,177",115,83.13,78.37,"23,215"
177,E07000149,South Norfolk,295823.0,628990.0,"143,066",85,85.15,81.34,"25,178"
178,E07000150,,,,,20,80.82,77.52,"22,774"
179,E07000151,,,,,70,83.72,80.84,"28,278"
180,E07000152,,,,,55,83.44,80.56,"26,775"
181,E07000153,,,,,45,82.46,79.62,"25,276"
182,E07000154,,,,,105,82.5,78.57,"25,226"
183,E07000155,,,,,90,84.29,81.72,x
184,E07000156,,,,,35,82.45,79.27,"21,722"
185,E07000163,Craven,461989.0,389513.0,"57,338",80,85.36,81.46,"18,532"
186,E07000164,Hambleton,490546.0,443009.0,"91,932",125,84.75,81.8,"23,790"
187,E07000165,Harrogate,464652.0,427473.0,"161,545",150,85.15,81.05,"27,021"
188,E07000166,Richmondshire,495786.0,401039.0,"53,732",75,83.47,81.66,"23,953"
189,E07000167,Ryedale,478890.0,475590.0,"55,629",75,85.6,80.73,x
190,E07000168,Scarborough,495548.0,495798.0,"108,737",170,82.83,78.05,"20,792"
191,E07000169,Selby,426670.0,457551.0,"91,697",70,83.53,80.52,"27,050"
192,E07000170,Ashfield,355843.0,450035.0,"128,337",65,81.68,78.38,"22,714"
193,E07000171,Bassetlaw,384835.0,468073.0,"118,280",95,82.38,78.89,"22,192"
194,E07000172,Broxtowe,341893.0,449829.0,"114,627",70,83.0,80.33,"25,272"
195,E07000173,Gedling,347811.0,459184.0,"118,239",50,83.14,80.47,"22,608"
196,E07000174,Mansfield,363637.0,455047.0,"109,351",60,81.48,77.96,"19,610"
197,E07000175,Newark and Sherwood,357451.0,470624.0,"123,127",100,82.81,79.88,"22,538"
198,E07000176,Rushcliffe,335453.0,466606.0,"121,416",70,84.54,81.51,"28,970"
199,E07000177,Cherwell,221201.0,449301.0,"151,846",105,84.03,81.22,"26,466"
200,E07000178,Oxford,206368.0,452277.0,"151,584",100,84.69,80.18,"25,892"
201,E07000179,South Oxfordshire,191964.0,463890.0,"143,782",130,85.63,82.18,"32,811"
202,E07000180,Vale of White Horse,195197.0,435693.0,"137,910",90,85.33,82.56,"30,598"
203,E07000181,West Oxfordshire,215816.0,434343.0,"111,758",105,84.96,81.86,"26,739"
204,E07000187,Mendip,144090.0,362238.0,"116,288",120,84.58,80.9,"22,918"
205,E07000188,Sedgemoor,143998.0,338429.0,"123,446",120,84.03,80.29,"21,523"
206,E07000189,South Somerset,120798.0,345633.0,"168,696",135,84.9,80.57,"22,931"
207,E07000190,,,,,85,,,
208,E07000191,,,,,50,,,
209,E07000192,Cannock Chase,311553.0,401261.0,"101,484",60,82.74,78.63,"23,414"
210,E07000193,East Staffordshire,326569.0,412601.0,"120,923",95,82.95,78.69,x
211,E07000194,Lichfield,310967.0,416283.0,"105,637",90,83.69,80.4,"27,961"
212,E07000195,Newcastle-under-Lyme,345174.0,378199.0,"129,610",105,82.99,79.27,"21,962"
213,E07000196,South Staffordshire,311037.0,389625.0,"112,369",80,84.25,80.33,"26,210"
214,E07000197,Stafford,327836.0,389001.0,"137,858",115,84.24,80.25,"26,696"
215,E07000198,Staffordshire Moorlands,352443.0,400543.0,"98,427",115,83.38,80.35,"24,709"
216,E07000199,Tamworth,302550.0,421455.0,"76,864",40,83.06,79.37,"24,472"
217,E07000200,Babergh,244692.0,599987.0,"92,735",85,85.22,81.76,"25,429"
218,E07000201,,,,,40,,,
219,E07000202,Ipswich,244456.0,617161.0,"135,979",60,83.22,79.45,"22,125"
220,E07000203,Mid Suffolk,262338.0,611646.0,"104,857",80,85.0,81.71,"24,793"
